classifier,comparison,mean_macro_f1_difference,wilcoxon_statistic,wilcoxon_p
Logistic Regression,Remove PC1 + L2 minus L2,-0.005650674392660071,3.0,0.3125
Linear SVM,Remove PC1 + L2 minus L2,0.003839756139632544,6.0,0.8125
