setting,n_literal,n_metaphorical,literal_mean,metaphorical_mean,gap_met_minus_lit,welch_t,welch_p,mannwhitney_u,mannwhitney_p,cohen_d
L2,898,707,0.05493269737950943,0.062136915229166076,0.0072042178496566425,5.184624019257462,2.446926693933222e-07,369844.0,1.3104990639253013e-08,0.25819508044675793
Mean-centered + L2,898,707,0.45084250993344244,0.5259503378644542,0.07510782793101178,7.831200144425046,8.769104936764722e-15,385301.0,1.8176619293938003e-13,0.3870981448506707
Remove PC1 + L2,898,707,0.4599980930045853,0.5330622599498386,0.0730641669452533,7.473880246647044,1.278940830877812e-13,382589.0,1.5793238687728397e-12,0.3690767242045586
